[[11, 22, 63, 12, 46, 42, 49, 41, 49, 42, 75, 4, 42, 40, 87, 58, 49, 39, 70, 70],
[20, 86, 76, 37, 46, 68, 34, 91,61, 2, 62, 78, 88, 35, 48, 25, 95, 70, 5, 52],
[52, 27, 76, 15, 80, 77, 38, 94, 16, 59, 53, 27, 71, 15, 41, 21, 92, 30, 62,55],
[82, 13, 13, 10, 87, 90, 56, 44, 3, 97, 69, 45, 69, 43, 4, 3, 22, 85, 7, 76],
[7, 70, 77, 41, 91, 38, 54, 61, 48, 66, 98, 12, 83, 85, 44, 7, 17,97, 67, 18],
[75, 21, 74, 73, 94, 50, 50, 11, 17, 32, 89, 93, 1, 54, 17, 73, 12, 7, 78, 47],
[58, 12, 68, 66, 11, 65, 23, 37, 7, 38, 20, 48, 97, 63, 63, 10, 6, 13, 3, 65],
 [41, 20, 23, 75, 14, 5, 21, 25, 82, 92, 14, 94, 61, 64, 59, 7, 24, 54, 60, 8],
 [87, 89, 98, 27, 66, 34, 20, 84, 14, 23, 57, 22, 96, 53, 74, 28, 64, 74, 6, 49],
 [55, 37, 58, 82, 31, 92, 52, 31, 6, 21, 85, 98, 5, 86, 22, 70, 56, 7, 51, 53],
 [58, 17, 40, 25, 93, 62, 16, 2, 16, 17, 68, 93, 14, 17, 20, 73, 56, 78, 80, 58],
 [64, 65, 99, 2, 75, 65, 7, 23, 52, 7, 4, 68, 66, 34, 69, 26, 49, 63, 18, 97],
 [24, 21, 2, 55, 44, 68, 30, 30, 59, 39, 11, 36,69, 54, 27, 25, 97, 22, 33, 9],
[19, 79, 75,65, 27, 19, 36, 11, 18, 23, 9,18, 97, 98, 19, 67,14, 81, 61, 45],
 [75, 76, 23, 3, 12, 29, 9, 68, 59, 77, 26, 37, 46, 79, 39,62, 67, 24, 62, 81],
 [38, 46,33, 95, 98, 40, 88, 92, 35, 97, 32,52, 89, 60, 52, 91, 81, 36, 12, 1],
 [78, 68, 54, 9, 77, 62, 88, 4, 94, 55, 54, 53, 20, 55, 61, 28, 10, 50, 64, 37],
 [26, 86, 49, 90, 63, 38, 20, 63, 47, 80, 1, 80, 25, 6, 63, 37, 74, 24, 31, 94],
 [74, 44, 80, 23, 78, 79, 48, 73, 72, 89, 56, 38, 48, 85, 32, 93, 78, 28, 66, 32],
 [94, 97, 74, 13, 5, 14, 28, 56, 68, 55, 3, 17, 44, 1, 42, 56, 94, 77, 6, 4]]
